"Date","Name","Age","Occupation","Connection","Official_Cause","Circumstances","Investigation","Sources"
"2008-07-29","Bruce Ivins","62","US Army USAMRIID microbiologist","Anthrax attacks 2001 - FBI officially concluded he was the sole perpetrator of the anthrax letter attacks that killed five people and infected 17 others","Drug overdose before indictment (ruled suicide)","Army biodefense microbiologist died of an acetaminophen overdose just days before he was to be formally charged as the sole perpetrator of the 2001 anthrax attacks; case was closed without a trial or conviction; colleagues strongly disputed his guilt; a National Academy of Sciences review questioned the FBI's scientific conclusions","Ruled suicide - case closed without trial; NAS questioned FBI's science","https://en.wikipedia.org/wiki/Bruce_Ivins"
"2006-10-07","Anna Politkovskaya","48","Russian investigative journalist for Novaya Gazeta","Russia/Chechnya - documented atrocities in Chechnya and persistently criticized Putin's government for over a decade","Shooting murder in apartment building elevator","Shot dead in an execution-style killing in the elevator of her Moscow apartment building on Vladimir Putin's birthday; had previously survived an apparent poisoning while traveling to cover the Beslan school siege; five men convicted in 2014 but masterminds believed connected to Chechen leadership were never prosecuted","Confirmed murder - five convicted; masterminds not prosecuted","https://en.wikipedia.org/wiki/Anna_Politkovskaya"
"2006-11-23","Alexander Litvinenko","43","Former Russian FSB officer and defector","Russian intelligence - had defected to UK; accused FSB of orchestrating Moscow apartment bombings that brought Putin to power; was investigating Russian organized crime","Polonium-210 radiation poisoning","Former FSB spy was poisoned with radioactive polonium-210 slipped into his tea at a London hotel bar; died agonizingly 22 days later; European Court of Human Rights ruled Russia was responsible; UK public inquiry named two FSB operatives and concluded Putin 'probably' approved the operation","Confirmed murder - Russia responsible per European Court of Human Rights","https://en.wikipedia.org/wiki/Alexander_Litvinenko"
"2009-07-16","Natalya Estemirova","50","Russian human rights activist and Memorial researcher","Russia/Chechnya - investigated hundreds of disappearances kidnappings and murders in Chechnya","Murder","Body found with bullet wounds to head and chest in Ingushetia hours after she was abducted from near her Grozny home; had investigated rights abuses attributed to Chechen security forces; Chechnya's Kadyrov had publicly condemned her work","Confirmed murder - unsolved","https://en.wikipedia.org/wiki/Natalya_Estemirova"
"2009-11-16","Sergei Magnitsky","37","Russian lawyer and tax fraud whistleblower","Russian financial corruption - had uncovered a $230 million tax fraud by Russian Ministry of Interior officials and reported them; was then arrested on charges filed by those same officials","Died in pretrial detention from beatings and medical neglect","Russian lawyer who exposed government fraud was arrested on charges filed by the officials he accused; denied medical treatment for pancreatitis; repeatedly beaten by guards; the Kremlin's own human rights council confirmed he was beaten before death; his death directly led to the US Magnitsky Act","Confirmed death by mistreatment in detention - officials never charged in Russia; Magnitsky Act was passed in response","https://en.wikipedia.org/wiki/Sergei_Magnitsky"
"2012-11-10","Alexander Perepilichny","44","Russian businessman and Magnitsky case cooperating witness","Sergei Magnitsky case - was cooperating with Swiss prosecutors investigating money laundering linked to the fraud that Magnitsky exposed","Collapsed while jogging - rare plant toxin later found in stomach","Russian businessman cooperating with Swiss investigators collapsed and died while jogging in Surrey England; traces of the rare plant toxin gelsemium were later detected in his stomach samples by specialist botanists conducting further analysis","Inquest ongoing - rare plant toxin gelsemium detected in stomach samples","https://en.wikipedia.org/wiki/Alexander_Perepilichny"
"2013-02-28","Nikolai Glushkov","68","Russian exiled businessman and Kremlin critic","Russia - was a close associate of Boris Berezovsky who died the same month; both were prominent Kremlin critics in London","Strangulation (ruled unlawful killing by inquest jury)","Found strangled in his London home shortly after his friend Boris Berezovsky died; had been a close associate and Kremlin critic; a UK inquest jury in April 2021 concluded he had been unlawfully killed; perpetrators were never identified","Confirmed unlawful killing by UK inquest jury 2021 - perpetrators not identified","https://en.wikipedia.org/wiki/Nikolai_Glushkov"
"2013-03-23","Boris Berezovsky","67","Russian oligarch and Putin critic in exile in London","Russia - was one of Russia's most powerful oligarchs before fleeing; became Putin's fiercest public critic; funded Russian opposition activities","Hanging (open verdict at UK inquest)","Found hanging at his Ascot England home; had been one of Russia's most powerful oligarchs before exile; his family friends and several former intelligence officials disputed suicide; UK inquest jury returned an open verdict - could not conclude whether he killed himself","Open verdict at UK inquest - suicide disputed by family and intelligence analysts","https://en.wikipedia.org/wiki/Boris_Berezovsky_(businessman)"
"2015-02-27","Boris Nemtsov","55","Russian opposition leader and former Deputy Prime Minister","Russia - Putin's most prominent domestic political opponent; was compiling a report on Russian military involvement in Ukraine","Shooting murder in front of the Kremlin","Shot dead four times in the back while walking on a bridge directly in front of the Kremlin; was in the process of compiling a detailed report on Russian military activity in eastern Ukraine; five Chechen men were convicted but the person who ordered the killing was never identified or charged","Confirmed murder - five convicted; mastermind never identified or charged","https://en.wikipedia.org/wiki/Assassination_of_Boris_Nemtsov"
"2004-12-10","Gary Webb","49","Investigative journalist at San Jose Mercury News","CIA drug trafficking - broke the 1996 Dark Alliance series linking CIA Contra networks to the crack cocaine epidemic in US cities","Two gunshot wounds to head (ruled suicide)","Found dead with two gunshot wounds to the head; Sacramento County coroner ruled suicide; acknowledged two shots to the head is unusual for suicide but said it has occurred; Webb had been blacklisted from major journalism since his 1996 story despite it being substantially vindicated by the CIA's own inspector general report","Ruled suicide - two shots to head widely considered suspicious","https://en.wikipedia.org/wiki/Gary_Webb"
"2005-08-06","Robin Cook","59","Former UK Foreign Secretary","Iraq War - dramatically resigned from the Blair Cabinet in protest over the invasion; gave the most famous parliamentary anti-war speech in modern British history","Heart attack while hillwalking in Scotland","Former Foreign Secretary who resigned over Iraq War died of hypertensive heart disease while hillwalking in the Scottish Highlands; post-mortem confirmed cardiac cause; no suspicious circumstances were found","Ruled natural - confirmed hypertensive heart disease","https://en.wikipedia.org/wiki/Robin_Cook"
"2013-06-18","Michael Hastings","33","Investigative journalist at BuzzFeed and Rolling Stone","Military-intelligence - had published the McChrystal article that led to the general's firing; was investigating FBI and CIA surveillance","Car crash at extreme speed with explosion (ruled accidental)","BuzzFeed journalist died when his Mercedes hit a palm tree and exploded in Hancock Park Los Angeles at 4:25 AM; the engine was ejected 50-60 yards from the impact site; former White House counterterrorism official Richard A. Clarke stated the crash was 'consistent with a car cyber attack'; Hastings had emailed colleagues hours before warning that the FBI was investigating him","Ruled accidental - senior US official stated consistent with a car cyber attack","https://en.wikipedia.org/wiki/Michael_Hastings_(journalist)"
"2015-11-02","Serena Shim","29","American journalist working for Press TV (Iran)","Syria - had reported on ISIS movements through Turkey; had publicly stated that Turkish intelligence had threatened her","Car accident near Syrian border (ruled accidental)","American journalist who had gone on air to say she was threatened by Turkish intelligence was killed when a truck hit her car in southern Turkey near the Syrian border; the driver of the truck was never charged","Ruled accidental - driver never charged; she had publicly reported being threatened","https://en.wikipedia.org/wiki/Serena_Shim"
"2016-03-24","John Jones","40","British human rights barrister","WikiLeaks - was one of Julian Assange's lawyers and represented other WikiLeaks-connected individuals","Hit by commuter train (ruled suicide)","British human rights barrister who represented Julian Assange died after being struck by a commuter train at Stoneleigh station in Surrey England","Ruled suicide","https://en.wikipedia.org/wiki/John_Jones_(barrister)"
"2017-10-16","Daphne Caruana Galizia","53","Maltese investigative journalist","Panama Papers - was the lead journalist in Malta exposing government corruption through Panama Papers reporting","Car bomb assassination","Killed when a bomb planted in her car exploded near her Malta home; had just published her final blog post saying 'there are crooks everywhere you look now'; official government inquiry found the Maltese state bore collective responsibility through creating a climate of impunity","Confirmed assassination - Maltese state found collectively responsible by official inquiry","https://www.icij.org/investigations/panama-papers/malta-responsible-for-assassination-of-journalist-daphne-caruana-galizia-inquiry-finds/"
"2018-02-21","Jan Kuciak","27","Slovak investigative journalist","Slovakia - was investigating links between Italian organized crime (Ndrangheta) and politicians close to Prime Minister Robert Fico","Shooting murder - he and his fiancée both killed","Young journalist and his fiancée Martina Kušnírová were shot dead at their home in Slovakia; his investigation had exposed connections between the Italian Ndrangheta and Slovak politicians; his murder sparked massive national protests and the eventual resignation of Prime Minister Fico","Confirmed murder - businessman convicted of ordering the killing; Fico resigned","https://en.wikipedia.org/wiki/Assassination_of_J%C3%A1n_Kuciak"
"2018-10-02","Jamal Khashoggi","59","Saudi journalist and Washington Post columnist","Saudi Arabia - prominent dissident and persistent critic of Crown Prince Mohammed bin Salman","Strangled and dismembered inside Saudi consulate in Istanbul","Saudi journalist was murdered inside the Saudi consulate in Istanbul by a 15-member Saudi team; his body was dismembered; the CIA concluded Crown Prince MBS ordered the killing; Saudi Arabia denied any knowledge for two weeks then changed its story multiple times","Confirmed murder - CIA concluded Crown Prince MBS ordered the killing","https://en.wikipedia.org/wiki/Assassination_of_Jamal_Khashoggi"
"2018-10-19","Victoria Marinova","30","Bulgarian journalist and TV host","Bulgaria/EU corruption - was hosting programs investigating EU fund fraud","Rape and murder","Bulgarian journalist hosting corruption investigation programs was raped and murdered in Ruse Bulgaria; her death followed the arrest of two other reporters investigating the same EU fund fraud scheme in a different country","Confirmed murder - perpetrator convicted","https://en.wikipedia.org/wiki/Victoria_Marinova"
"2008-05-01","Deborah Jeane Palfrey","52","Escort service operator - the DC Madam","Washington DC politics - operated an escort service used by prominent politicians and officials; had stated publicly she would expose her client list","Hanging (ruled suicide)","Found hanging in a storage shed at her Florida mother's home two weeks after her federal conviction on racketeering charges; had publicly stated on multiple occasions she would not commit suicide if prosecuted; had said she was saving her client list for her defense","Ruled suicide - she had publicly stated she would not commit suicide","https://en.wikipedia.org/wiki/Deborah_Jeane_Palfrey"
"2012-01-01","Andrew Breitbart","43","Conservative media founder","Political media - had been loudly and publicly claiming to have Obama-damaging videos he would release before the 2012 election","Heart attack while walking (ruled natural)","Conservative media founder died of heart failure while walking near his Los Angeles home; was 43 with no known serious cardiac history; had been making repeated public statements about damaging Obama material he intended to release in the coming weeks","Ruled natural - timing of Obama video claims widely noted","https://en.wikipedia.org/wiki/Andrew_Breitbart"
"2024-03-09","John Barnett","62","Boeing safety whistleblower","Boeing - had filed multiple FAA whistleblower complaints about defective parts in Boeing 787 Dreamliner production","Gunshot wound to head in hotel parking lot (ruled suicide)","Found dead in his truck in a South Carolina hotel parking lot on the morning he was due to give the third day of his deposition in his whistleblower lawsuit against Boeing; left a note saying 'I can't do this any longer' and 'I pray Boeing pays'; police concluded suicide caused by PTSD from the whistleblower case","Ruled suicide - occurred mid-deposition in active Boeing whistleblower case","https://en.wikipedia.org/wiki/John_Barnett_(whistleblower)"
"2024-05-01","Joshua Dean","45","Spirit AeroSystems quality auditor and whistleblower","Boeing safety - had filed FAA complaints about improperly drilled holes in 737 MAX fuselages; same defect that caused a door plug to blow off mid-flight in January 2024","Rapidly spreading MRSA bacterial infection and pneumonia (ruled natural)","Healthy former quality auditor who had reported 737 MAX safety defects died after a sudden unexplained illness developed into MRSA and pneumonia within two weeks; had exercised daily and had never previously been hospitalized; was represented by the same attorney as John Barnett who died less than two months earlier","Ruled natural - rapid illness in a healthy man; connection to Barnett widely noted in media","https://www.seattletimes.com/business/whistleblower-josh-dean-of-boeing-supplier-spirit-aerosystems-has-died/"
"2024-11-26","Suchir Balaji","26","Former OpenAI researcher and AI whistleblower","AI/Tech - had publicly accused OpenAI of violating US copyright law in building ChatGPT; was identified by the New York Times as a key witness in its copyright lawsuit against OpenAI","Gunshot wound to head in deadbolted apartment (ruled suicide)","Found dead in his San Francisco apartment after welfare check; had been named by the NYT as a 'custodian' witness with unique documents just days before his death; apartment was deadbolted from the inside; parents disputed the ruling; second autopsy commissioned by family reportedly showed evidence of homicide; police maintained their conclusion","Ruled suicide - parents commissioned second autopsy claiming homicide evidence; police maintained suicide conclusion","https://en.wikipedia.org/wiki/Suchir_Balaji"
"2019-08-10","Jeffrey Epstein","66","Financier and convicted sex trafficker","Epstein network - had trafficked minors to powerful political and financial figures globally; allegedly operated a blackmail operation for decades","Hanging in federal jail cell (ruled suicide)","Found hanging in the Metropolitan Correctional Center New York while awaiting trial; had been removed from suicide watch; both guards assigned to check on him were asleep; security cameras malfunctioned; an independent medical examiner hired by his brother noted that the pattern of injuries was more consistent with strangulation homicide than hanging; officially ruled suicide","Ruled suicide - independent medical examiner's findings more consistent with homicide","https://en.wikipedia.org/wiki/Jeffrey_Epstein"
"2020-06-22","Steve Bing","55","Hollywood film producer and Democratic megadonor","Epstein network - wealthy producer who visited Epstein's private island and was seen with him on multiple occasions","Fall from 27th floor apartment (ruled suicide)","Hollywood film producer and Democratic Party megadonor fell from the 27th floor of his Century City Los Angeles apartment; had known Epstein and visited his private island","Ruled suicide","https://en.wikipedia.org/wiki/Steve_Bing"
"2022-02-19","Jean-Luc Brunel","74","Modeling agency founder and Epstein associate","Epstein network - Epstein's longtime associate whose modeling agency allegedly served as a recruitment and trafficking pipeline","Hanging in Paris prison cell (ruled suicide)","Found hanged in his cell at La Santé prison in Paris where he was held awaiting trial on rape and sexual assault charges involving minors; was expected to provide testimony implicating high-profile figures; his sister publicly contested the suicide ruling","Ruled suicide - sister and others publicly disputed","https://en.wikipedia.org/wiki/Jean-Luc_Brunel"
"2016-07-10","Seth Rich","27","DNC voter data analyst","DNC - worked for the Democratic National Committee weeks before the DNC email leak became a major story","Shooting murder - unsolved","DNC staffer shot twice in the back in Washington DC at 4 AM; wallet phone and watch were not taken by the assailant; murder remains unsolved despite extensive public scrutiny; the family has been repeatedly harassed by unfounded conspiracy theories","Unsolved murder","https://en.wikipedia.org/wiki/Murder_of_Seth_Rich"
"2017-02-13","Kim Jong-nam","45","North Korean defector - Kim Jong-un's half-brother","North Korea - was considered a potential alternative leader to Kim Jong-un; had publicly criticized the North Korean regime","VX nerve agent poisoning at Kuala Lumpur International Airport","Kim Jong-un's half-brother was killed at Kuala Lumpur airport when two women separately wiped VX nerve agent on his face while he walked through the departure terminal; North Korean intelligence was identified as responsible for orchestrating the assassination; the women told they were participating in a TV prank","Confirmed murder - North Korean intelligence responsible","https://en.wikipedia.org/wiki/Assassination_of_Kim_Jong-nam"
"2017-07-13","Liu Xiaobo","61","Chinese dissident and Nobel Peace Prize winner","China - was jailed for 11 years for inciting subversion; his Nobel Peace Prize was awarded in 2010 to an empty chair while he was imprisoned","Liver cancer in state custody","Only Nobel Peace Prize laureate to die in state custody since Carl von Ossietzky in Nazi Germany in 1938; Chinese authorities refused repeated international requests from governments and medical institutions to allow him to travel abroad for cancer treatment","Died in state custody - international requests for release for treatment were refused","https://en.wikipedia.org/wiki/Liu_Xiaobo"
"2018-06-30","Dawn Sturgess","44","British civilian - secondary Novichok victim","Russian intelligence - was a secondary victim of the Novichok nerve agent used in the Skripal assassination attempt in Salisbury England","Novichok nerve agent poisoning","British woman died after her partner gave her a discarded Nina Ricci perfume bottle which actually contained the Novichok nerve agent used in the Skripal attack; Russian GRU officers were identified as responsible for the Skripal poisoning operation","Confirmed murder - Russian GRU identified as responsible for the Skripal operation","https://en.wikipedia.org/wiki/Poisoning_of_Sergei_and_Yulia_Skripal"
"2019-01-15","Alberto Nisman","51","Argentine federal prosecutor","Argentina - was about to present formal charges against President Cristina Fernández de Kirchner for allegedly covering up Iranian involvement in the 1994 AMIA bombing that killed 85 people","Gunshot to head (initially suicide; officially reclassified to murder)","Argentine prosecutor was found shot dead in his apartment the night before he was to present his case against the president to Congress; initially ruled suicide; subsequent investigations and court rulings officially reclassified the death as a murder; the case has been intensely politically contested for a decade","Reclassified from suicide to murder - case remains politically contested in Argentina","https://en.wikipedia.org/wiki/Alberto_Nisman"
"2020-11-27","Mohsen Fakhrizadeh","62","Iran's leading nuclear weapons scientist","Iran nuclear program - Iran's most senior nuclear weapons scientist; designated by UN Security Council for sanction","Remote-controlled AI-targeted machine gun assassination","Iranian nuclear scientist was killed by a remote-controlled machine gun mounted in a truck near Tehran; the weapon used artificial intelligence targeting and was operated remotely; Israel was widely credited with the operation and officially declined to confirm or deny involvement","Confirmed assassination - Israel widely credited; Iran blamed Israel","https://en.wikipedia.org/wiki/Assassination_of_Mohsen_Fakhrizadeh"
"2021-07-07","Jovenel Moïse","53","President of Haiti","Haiti - sitting president during ongoing political and constitutional crisis","Shooting murder in his private residence","Haitian president was shot and killed in his home by a team of professional assassins including former Colombian special forces soldiers and retired Haitian police; investigation identified a complex network including Haitian-American businessmen and former Haitian officials","Confirmed murder - investigation identifies network; case ongoing","https://en.wikipedia.org/wiki/Assassination_of_Jovenel_Mo%C3%AFse"
"2021-06-23","John McAfee","75","Antivirus software pioneer and cryptocurrency advocate","Crypto/tax evasion - was actively fighting extradition to the United States on tax evasion and fraud charges","Found hanged in Barcelona prison cell hours after extradition approved","Found hanged in his cell at Brians 2 prison in Barcelona hours after Spanish courts approved his extradition to the US; had repeatedly and publicly stated he would never commit suicide; had reportedly tattooed 'WHACKD' on his arm as a message; family formally disputed the official suicide ruling","Ruled suicide - family formally disputes; his own repeated public statements against suicide documented","https://en.wikipedia.org/wiki/John_McAfee"
"2022-07-08","Shinzo Abe","67","Former Japanese Prime Minister","Japanese politics - was the longest-serving Prime Minister in Japanese history and the most influential political figure in Japan","Shooting murder during a campaign speech","Former Japanese PM was shot twice during a campaign speech in Nara Japan using a homemade shotgun constructed by the assassin Tetsuya Yamagami; the shooter said he targeted Abe because of his promotion of the Unification Church which had financially ruined his mother","Confirmed murder - perpetrator convicted","https://en.wikipedia.org/wiki/Assassination_of_Shinzo_Abe"
"2022-07-22","Darya Dugina","29","Russian ultranationalist commentator and journalist","Russia/Ukraine war - daughter of influential ultranationalist philosopher Alexander Dugin; was a prominent pro-war media personality","Car bomb assassination outside Moscow","Killed when a bomb planted under the driver's seat of her car exploded on a Moscow highway after an outdoor festival; Russia publicly blamed Ukraine and Ukrainian intelligence; some analysts believed her father Alexander Dugin was the actual intended target","Confirmed assassination - Ukraine blamed by Russia; intended target disputed","https://en.wikipedia.org/wiki/Assassination_of_Darya_Dugina"
"2023-09-16","Fernando Villavicencio","59","Ecuadorian journalist turned presidential candidate","Ecuador - was actively investigating criminal gang infiltration of Ecuadorian politics and government","Shooting murder outside a campaign rally","Anti-corruption journalist-turned-presidential-candidate was shot dead as he left a campaign rally in Quito just days before the presidential election; had publicly reported receiving death threats from a criminal organization; six Colombian nationals were convicted of carrying out the murder","Confirmed murder - six perpetrators convicted","https://en.wikipedia.org/wiki/Assassination_of_Fernando_Villavicencio"
"2023-09-23","Hardeep Singh Nijjar","45","Canadian Sikh separatist leader","Canada-India relations - India had designated him a terrorist; Canadian PM Trudeau publicly alleged Indian government responsibility","Shooting murder in Surrey British Columbia","Canadian Sikh leader was shot dead in the parking lot of a Sikh cultural centre in Surrey BC; Canadian PM Justin Trudeau publicly alleged Indian government involvement creating an unprecedented diplomatic crisis between Canada and India; India denied any involvement","Confirmed murder - Canada formally alleged Indian government responsibility","https://en.wikipedia.org/wiki/Assassination_of_Hardeep_Singh_Nijjar"
"2024-02-16","Alexei Navalny","47","Russian opposition leader and anti-corruption activist","Russia - Putin's most prominent domestic political opponent; survived a Novichok poisoning in August 2020 widely attributed to the Putin government","Died in Arctic prison colony - official cause disputed","Russia's most prominent opposition politician died at the IK-6 Arctic prison colony where he was serving a 19-year sentence; Russian authorities said he felt ill after a walk and lost consciousness; Western governments immediately blamed Putin for his death; his widow Yulia Navalnaya called it murder","Widely attributed to Putin - Russia denied any responsibility","https://en.wikipedia.org/wiki/Death_of_Alexei_Navalny"
"2024-07-31","Ismail Haniyeh","62","Hamas political bureau chief","Israel-Hamas conflict - was the political leader of Hamas; was in Tehran attending Iran's presidential inauguration ceremony","Assassination by bomb planted in secure Tehran guesthouse","Hamas political leader was killed in an explosion at the Iranian government guesthouse in Tehran where he was staying; the bomb had apparently been planted weeks or months in advance; Israel widely credited with the operation and officially declined to confirm or deny responsibility","Confirmed assassination - Israel widely credited by international media and intelligence sources","https://en.wikipedia.org/wiki/Ismail_Haniyeh"
"2024-05-19","Ebrahim Raisi","63","President of Iran","Iran - sitting president of Iran; was a key figure in Iran's nuclear program and regional proxy strategy","Helicopter crash in foggy mountainous terrain","Iranian president and his foreign minister Hossein Amir-Abdollahian were killed when their presidential helicopter crashed in mountainous terrain near the Azerbaijan border in foggy weather conditions; Iran blamed US sanctions for making it impossible to maintain and upgrade the American-made Bell helicopters","Ruled accidental - Iran blamed US sanctions for inability to maintain helicopters","https://en.wikipedia.org/wiki/Death_of_Ebrahim_Raisi"
"2022-01-30","Leonid Shulman","60","Gazprom transport director","Russia/Ukraine war - Gazprom executive; the first of a series of Gazprom-linked executive deaths in 2022","Hanging (suicide note found)","Found dead in the bathroom of his Leningrad Oblast cottage with a suicide note; was director of transport for Russia's Gazprom state energy giant; first in the documented wave of executive deaths","Ruled suicide","https://en.wikipedia.org/wiki/Suspicious_Russia-related_deaths_since_2022"
"2022-02-25","Alexander Tyulyakov","61","Gazprom deputy general director","Russia/Ukraine war - Gazprom executive who died the day after Russia launched its full-scale invasion of Ukraine","Hanging (suicide note found)","Found hanged in his garage near St Petersburg with a suicide note; died the very day after Russia's full-scale invasion of Ukraine began","Ruled suicide","https://en.wikipedia.org/wiki/Suspicious_Russia-related_deaths_since_2022"
"2022-02-28","Mikhail Watford","66","Ukrainian-born Russian businessman living in the UK","Russia/Ukraine war - businessman found dead in Surrey England as the Ukraine war was beginning","Hanging in his garage","Ukrainian-born businessman (born Mikhail Tolstosheya) found hanging in his garage in Surrey England; British authorities found no evidence of a crime; timing at the outbreak of the Ukraine war raised public questions","No evidence of crime found by British authorities - timing noted","https://www.newsweek.com/every-russian-oligarch-who-has-died-since-putin-invaded-ukraine-full-list-1700022"
"2022-03-23","Vasily Melnikov","43","Russian medical equipment billionaire","Russia/Ukraine war - owner of MedStom medical supply company which was suffering losses from Western sanctions imposed over Ukraine","Stabbing - official theory: murder-suicide","Found dead in his Nizhny Novgorod apartment along with his wife and his two young sons aged 10 and 4; all died from stab wounds; knives found at the scene; police investigated the theory that Melnikov killed his family then himself; relatives and neighbors disputed the murder-suicide conclusion","Ruled murder-suicide - family and neighbors disputed the conclusion","https://www.businessinsider.com/these-are-all-the-russian-oligarchs-mysteriously-died-in-2022-2022-4"
"2022-04-18","Vladislav Avayev","51","Former Gazprombank vice president","Russia/Ukraine war - former senior executive at Gazprombank which is a subsidiary of Gazprom","Gunshot wound - murder-suicide theory; apartment locked from inside","Found dead in his locked Moscow apartment along with his wife and 13-year-old daughter; a gun was found in his hand; the apartment was locked from the inside; investigators prioritized the murder-suicide theory","Ruled murder-suicide - apartment was locked from the inside","https://www.businessinsider.com/these-are-all-the-russian-oligarchs-mysteriously-died-in-2022-2022-4"
"2022-04-19","Sergey Protosenya","55","Former Novatek oil company executive","Russia/Ukraine war - top executive at Novatek which had issued a statement opposing the Ukraine war","Hanging - wife and daughter found stabbed; murder-suicide theory","Found hanging in the garden of a rented luxury villa in Spain; his wife and 18-year-old daughter were found dead in their beds with stab wounds and an axe nearby; Spanish police investigated as a murder-suicide; his son publicly stated his father was not a killer and that the scene had been staged","Ruled murder-suicide - son disputed the ruling and claimed the scene was staged","https://www.businessinsider.com/these-are-all-the-russian-oligarchs-mysteriously-died-in-2022-2022-4"
"2022-05-08","Alexander Subbotin","43","Former Lukoil board member","Russia/Ukraine war - former executive at Lukoil which had publicly issued a statement opposing the Ukraine war","Heart attack at a shaman's house (ruled natural)","Found dead of a heart attack in a shaman's house in Mytishchi Russia where he had gone for ritual treatment for a hangover; authorities said he arrived under the influence of alcohol and drugs; the circumstances surrounding his death were widely considered bizarre","Ruled heart attack - circumstances highly unusual","https://www.businessinsider.com/these-are-all-the-russian-oligarchs-mysteriously-died-in-2022-2022-4"
"2022-07-04","Yuri Voronov","61","CEO of Astra Shipping (direct Gazprom subcontractor)","Russia/Ukraine war - CEO of a company that was a direct subcontractor of Russia's Gazprom","Found dead beside swimming pool with gunshot wound to the head","Found dead beside his swimming pool in Leningrad Oblast with a pistol next to his body and a gunshot wound to the head","Ruled suicide","https://en.wikipedia.org/wiki/Suspicious_Russia-related_deaths_since_2022"
"2022-08-14","Dan Rapoport","52","Latvian-American businessman and vocal Putin critic","Russia - was a prominent and vocal public critic of Putin and the Ukraine invasion","Fall from high-rise apartment in Washington DC","Found in the street outside his Washington DC apartment building after an apparent fall; had been a prominent critic of the war among Russian-American business figures","Ruled suicide - circumstances questioned by observers","https://en.wikipedia.org/wiki/Suspicious_Russia-related_deaths_since_2022"
"2022-09-01","Ravil Maganov","67","Chairman of Lukoil","Russia/Ukraine war - chairman of Russia's largest private oil company which had publicly called for an end to the Ukraine war","Fall from window of Moscow hospital (official cause disputed)","Found dead on the grounds outside Moscow's Central Clinical Hospital where he was hospitalized; Lukoil initially said he had 'passed away after a severe illness' before reports emerged of a fall from a hospital window; his company had published a rare statement calling for an end to the war in Ukraine","Unclear - fell from hospital window during hospitalization; company had publicly opposed the war","https://www.newsweek.com/every-russian-oligarch-who-has-died-since-putin-invaded-ukraine-full-list-1700022"
"2022-09-10","Ivan Pechorin","39","Russian aviation development executive","Russia/Ukraine war - was responsible for revitalizing Russia's aviation sector and worked closely with Putin","Drowned after falling from his luxury yacht","Senior executive at the Corporation for the Development of the Far East fell from his luxury yacht and drowned near Vladivostok; body was found washed up on a beach two days later","Ruled accidental drowning","https://www.newsweek.com/every-russian-oligarch-who-has-died-since-putin-invaded-ukraine-full-list-1700022"
"2022-09-21","Anatoly Gerashchenko","72","Former rector of Moscow Aviation Institute","Russia/Ukraine war - former head of the institute that collaborates with Russia's defence ministry on MiG fighter development","Fall down multiple flights of stairs inside the institute","Former rector of the Moscow Aviation Institute was declared dead after allegedly falling down multiple flights of stairs inside the institute building","Ruled accidental","https://www.newsweek.com/every-russian-oligarch-who-has-died-since-putin-invaded-ukraine-full-list-1700022"
"2022-11-16","Colonel Vadim Boyko","44","Deputy head of Makarov Pacific Higher Naval School","Russia/Ukraine war - was involved in mobilization efforts for the Ukraine war","Shot himself in the chest five times (ruled suicide)","The deputy head of the naval school involved in Ukraine war mobilization was reported by Russian media to have died by suicide by shooting himself in the chest five times; this method was met with widespread public incredulity","Ruled suicide - method of five shots to chest widely doubted","https://en.wikipedia.org/wiki/Suspicious_Russia-related_deaths_since_2022"
"2022-11-25","Vyacheslav Taran","53","Co-founder of Libertex forex and cryptocurrency exchange","Russia/crypto - co-founded a major forex and cryptocurrency trading platform","Helicopter crash near Monaco","Russian cryptocurrency and forex trading pioneer died when his helicopter crashed on the French Riviera after taking off from Lausanne Switzerland; he was the sole passenger while the pilot survived","Ruled accidental","https://en.wikipedia.org/wiki/Suspicious_Russia-related_deaths_since_2022"
"2022-11-26","Vladimir Makei","64","Foreign Minister of Belarus","Russia/Belarus - had been pursuing an independent Belarusian diplomatic course maintaining ties with Europe despite Lukashenko's alignment with Putin","Sudden death - no official cause of death ever announced","Belarusian foreign minister who had been maintaining European contacts while Lukashenko aligned with Russia died suddenly four days after returning from a CSTO summit; no official cause of death was ever publicly announced","No official cause of death was ever announced","https://en.wikipedia.org/wiki/Suspicious_Russia-related_deaths_since_2022"
"2022-12-24","Pavel Antov","65","Russian meat processing billionaire and state lawmaker","Russia/Ukraine war - had briefly posted a social media message criticizing Putin's missile strikes on Ukraine before deleting it","Fall from hotel window in India","Russian billionaire and ruling party lawmaker found dead outside his hotel in Rayagada India; his travel companion Vladimir Bidenov had died in the same hotel two days earlier; Antov had posted a brief social media message criticizing the Ukraine war before quickly deleting it","Fell from hotel window; travel companion died at same hotel two days prior","https://www.businessinsider.com/these-are-all-the-russian-oligarchs-mysteriously-died-in-2022-2022-4"
"2023-06-24","Kristina Baikova","28","Vice president of Loko-Bank","Russia - senior Russian banking executive","Fall from 11th floor Moscow apartment","Vice president of Loko-Bank and head of corporate client relations was found dead after falling from her 11th floor apartment in Moscow; circumstances were not clarified by Russian authorities","Circumstances not clarified by authorities","https://www.latintimes.com/full-list-russian-executives-officials-die-alleged-suicide-under-putin-latest-oil-tycoon-562935"
